349.281,559
349.544,562
349.807,567
350.070,573
350.333,564
350.596,564
350.859,572
351.123,570
351.386,573
351.649,579
351.912,567
352.175,560
352.438,579
352.701,571
352.964,564
353.228,574
353.491,567
353.754,569
354.017,570
354.280,560
354.543,568
354.806,576
355.069,570
355.332,572
355.595,573
355.858,562
356.122,564
356.385,570
356.648,570
356.911,570
357.174,571
357.437,569
357.700,571
357.963,569
358.226,570
358.489,569
358.752,568
359.015,574
359.278,572
359.541,574
359.805,570
360.068,569
360.331,565
360.594,565
360.857,576
361.120,580
361.383,579
361.646,574
361.909,572
362.172,572
362.435,555
362.698,577
362.961,577
363.224,575
363.487,566
363.750,566
364.013,573
364.276,565
364.539,577
364.802,574
365.065,571
365.328,560
365.591,579
365.854,567
366.117,561
366.380,573
366.643,568
366.906,566
367.169,575
367.432,566
367.695,560
367.958,572
368.221,562
368.484,571
368.747,573
369.010,566
369.273,568
369.536,570
369.799,559
370.062,568
370.325,568
370.588,565
370.851,570
371.114,566
371.377,565
371.640,560
371.903,565
372.166,569
372.429,564
372.692,573
372.955,573
373.218,566
373.481,571
373.744,569
374.007,560
374.270,579
374.533,569
374.795,559
375.058,573
375.321,577
375.584,560
375.847,568
376.110,568
376.373,562
376.636,568
376.899,565
377.162,559
377.425,580
377.688,565
377.951,566
378.214,564
378.476,564
378.739,567
379.002,566
379.265,576
379.528,565
379.791,568
380.054,572
380.317,570
380.580,576
380.843,572
381.105,563
381.368,561
381.631,580
381.894,568
382.157,569
382.420,569
382.683,574
382.946,563
383.209,570
383.471,565
383.734,569
383.997,570
384.260,563
384.523,564
384.786,566
385.049,570
385.312,574
385.574,568
385.837,570
386.100,568
386.363,571
386.626,564
386.889,572
387.151,556
387.414,576
387.677,569
387.940,561
388.203,560
388.466,568
388.729,570
388.991,571
389.254,559
389.517,568
389.780,565
390.043,572
390.306,570
390.568,571
390.831,572
391.094,564
391.357,570
391.620,572
391.882,570
392.145,567
392.408,568
392.671,567
392.934,566
393.196,569
393.459,568
393.722,567
393.985,570
394.248,568
394.510,567
394.773,571
395.036,557
395.299,568
395.562,567
395.824,566
396.087,559
396.350,570
396.613,556
396.875,570
397.138,569
397.401,568
397.664,562
397.927,580
398.189,562
398.452,566
398.715,573
398.978,562
399.240,568
399.503,560
399.766,566
400.029,565
400.291,565
400.554,570
400.817,560
401.080,567
401.342,571
401.605,556
401.868,575
402.131,567
