460.118	5
460.517	-5
460.915	1
461.314	1
461.713	8
462.111	10
462.510	-1
462.909	6
463.307	2
463.706	6
464.104	6
464.503	2
464.901	3
465.300	9
465.698	4
466.097	1
466.495	1
466.893	5
467.292	9
467.690	5
468.088	9
468.486	7
468.884	11
469.283	8
469.681	12
470.079	13
470.477	7
470.875	6
471.273	9
471.671	4
472.069	4
472.466	3
472.864	10
473.262	0
473.660	5
474.058	8
474.455	4
474.853	2
475.251	11
475.648	2
476.046	5
476.443	6
476.841	10
477.238	9
477.636	1
478.033	2
478.431	3
478.828	9
479.225	9
479.623	3
480.020	3
480.417	6
480.814	6
481.211	12
481.609	8
482.006	-2
482.403	9
482.800	8
483.197	12
483.594	4
483.991	5
484.388	9
484.784	12
485.181	6
485.578	6
485.975	4
486.372	8
486.768	5
487.165	8
487.562	11
487.958	13
488.355	9
488.752	14
489.148	7
489.545	12
489.941	10
490.337	19
490.734	8
491.130	13
491.527	22
491.923	18
492.319	15
492.715	19
493.112	17
493.508	22
493.904	21
494.300	16
494.696	22
495.092	26
495.488	20
495.884	18
496.280	37
496.676	36
497.072	33
497.468	35
497.864	43
498.259	32
498.655	37
499.051	43
499.447	47
499.842	58
500.238	61
500.634	75
501.029	74
501.425	85
501.820	81
502.216	88
502.611	102
503.006	113
503.402	131
503.797	143
504.193	152
504.588	185
504.983	180
505.378	213
505.773	211
506.169	201
506.564	258
506.959	274
507.354	292
507.749	297
508.144	323
508.539	322
508.934	357
509.329	377
509.724	401
510.118	430
510.513	427
510.908	468
511.303	492
511.698	459
512.092	461
512.487	469
512.881	437
513.276	473
513.671	464
514.065	468
514.460	441
514.854	461
515.249	429
515.643	401
516.037	423
516.432	408
516.826	378
517.220	356
517.614	312
518.009	296
518.403	271
518.797	291
519.191	247
519.585	249
519.979	224
520.373	206
520.767	196
521.161	186
521.555	210
521.949	187
522.343	136
522.737	147
523.130	128
523.524	140
523.918	137
524.312	133
524.705	111
525.099	124
525.492	104
525.886	116
526.280	113
526.673	98
527.066	101
527.460	108
527.853	93
528.247	84
528.640	79
529.033	82
529.427	95
529.820	85
530.213	92
530.606	72
530.999	80
531.393	60
531.786	82
532.179	76
532.572	80
532.965	82
533.358	87
533.751	94
534.144	82
534.536	108
534.929	91
535.322	85
535.715	87
536.108	106
536.500	95
536.893	111
537.286	115
537.678	131
538.071	126
538.463	139
538.856	138
539.248	143
539.641	138
540.033	161
540.426	170
540.818	172
541.210	177
541.603	196
541.995	194
542.387	226
542.779	227
543.171	240
543.563	265
543.956	308
544.348	281
544.740	348
545.132	351
545.524	340
545.916	352
546.308	397
546.699	426
547.091	430
